Year,Site,Habitat,Non-Herbivore Biomass,Herbivore Biomass
2014,2,BA,38461.600000000035,21043.28000000001
2014,2,FO,23161.540000000008,38827.64999999998
2014,2,FR,27978.289999999994,26636.880000000005
2014,3,BA,22130.75000000001,24489.429999999997
2014,3,FO,93944.77000000009,26187.579999999998
2014,3,FR,105450.98000000004,24475.589999999993
2014,4,BA,18791.53,17469.640000000003
2014,4,FO,18307.870000000006,24345.019999999993
2014,4,FR,24079.52,11368.970000000001
2014,5,BA,61000.380000000005,31050.77
2014,5,FO,35513.04,17556.649999999998
2014,5,FR,34773.81,16577.55
2014,6,BA,21140.30999999999,18627.640000000003
2014,6,FO,21589.200000000008,40959.09000000002
2014,6,FR,27671.319999999996,18303.18999999999
2015,1,BA,53234.959999999985,25029.529999999988
2015,1,FO,18583.820000000003,30525.249999999985
2015,1,FR,24460.75,22837.100000000002
2015,2,BA,15375.62,18929.120000000003
2015,2,FO,28252.519999999986,39293.08999999999
2015,2,FR,21493.959999999985,20691.930000000004
2015,3,BA,12027.959999999994,24936.820000000003
2015,3,FO,17679.089999999997,37956.84000000002
2015,3,FR,29033.52000000001,24163.440000000002
2015,4,BA,18123.549999999992,34559.89000000001
2015,4,FO,18827.349999999995,21194.190000000017
2015,4,FR,16274.569999999998,21063.97
2015,5,BA,16078.620000000006,48919.41000000001
2015,5,FO,19375.6,13778.560000000003
2015,5,FR,60202.100000000006,19276.799999999992
2015,6,BA,14903.489999999993,32165.760000000002
2015,6,FO,27720.8,36496.07000000001
2015,6,FR,30954.829999999987,19758.83999999999
2016,1,BA,15900.249999999996,26750.88000000001
2016,1,FO,33131.06,10848.790000000005
2016,1,FR,16513.330000000005,32317.889999999996
2016,2,BA,8708.82,24419.12
2016,2,FO,36440.849999999984,13225.64
2016,2,FR,27267.090000000007,36661.36
2016,3,BA,84915.60000000003,20780.029999999995
2016,3,FO,16845.940000000006,22383.480000000003
2016,3,FR,10800.749999999993,12077.929999999998
2016,4,BA,8130.620000000005,22740.059999999998
2016,4,FO,14897.419999999998,13724.760000000004
2016,4,FR,37141.65,10473.4
2016,5,BA,37422.20000000001,32660.12
2016,5,FO,65446.29999999997,14507.91
2016,5,FR,12973.010000000004,11556.790000000006
2016,6,BA,10543.300000000001,15963.979999999996
2016,6,FO,17866.25,20529.51999999999
2016,6,FR,17185.540000000005,9434.73
2017,1,BA,7103.4200000000055,23450.319999999992
2017,1,FO,32592.020000000015,16099.280000000002
2017,1,FR,12741.420000000007,20011.639999999992
2017,2,BA,55781.64999999998,23662.039999999994
2017,2,FO,18044.66999999999,20422.239999999976
2017,2,FR,22306.17,26494.819999999996
2017,3,BA,49466.18000000001,21078.970000000005
2017,3,FO,25182.120000000017,26247.810000000005
2017,3,FR,10981.200000000003,13960.95
2017,4,BA,9628.440000000002,13320.91
2017,4,FO,18235.23999999999,12517.089999999997
2017,4,FR,17832.879999999997,13070.709999999995
2017,5,BA,17522.35999999999,27770.489999999998
2017,5,FO,94185.51999999997,15545.500000000002
2017,5,FR,17866.750000000004,13775.94
2017,6,BA,132202.04000000004,13384.679999999997
2017,6,FO,17099.440000000006,36022.06999999999
2017,6,FR,17015.230000000007,15100.350000000002
2018,1,BA,37497.32000000001,33347.26999999999
2018,1,FO,40694.98,13219.970000000003
2018,1,FR,9696.739999999996,26877.11
2018,2,BA,48146.94000000002,25004.81999999999
2018,2,FO,27868.050000000025,20605.620000000006
2018,2,FR,33222.840000000004,33031.060000000005
2018,3,BA,25150.020000000004,20870.049999999996
2018,3,FO,24202.889999999992,22486.589999999993
2018,3,FR,11344.849999999999,18290.419999999995
2018,4,BA,6327.300000000006,12324.209999999997
2018,4,FO,19706.3,12888.980000000003
2018,4,FR,30687.78999999999,9898.330000000005
2018,5,BA,227468.3300000002,21898.020000000004
2018,5,FO,14216.780000000015,13595.43
2018,5,FR,14952.92,13079.970000000001
2018,6,BA,15514.730000000007,18975.170000000013
2018,6,FO,20663.07,25888.249999999993
2018,6,FR,7092,14301.3
2019,1,BA,8766.37,20036.86
2019,1,FO,17213.859999999997,18510.050000000003
2019,1,FR,12834.19000000001,24016.659999999985
2019,2,BA,9938.939999999997,24375.83000000001
2019,2,FO,19217.32000000001,20093.119999999988
2019,2,FR,19141.8,31699.41
2019,3,BA,7196.349999999997,19695.409999999993
2019,3,FO,16598.489999999998,20847.029999999988
2019,3,FR,10046.999999999995,19820.09999999999
2019,4,BA,11233.120000000004,17403.770000000004
2019,4,FO,23020.79,20552.15
2019,4,FR,35733.57,10285.839999999997
2019,5,BA,35311.73,21708.18
2019,5,FO,12031.86,12851.810000000001
2019,5,FR,23040.249999999996,19257.460000000003
2019,6,BA,15345.169999999996,14280.859999999997
2019,6,FO,19888.659999999985,26668.460000000003
2019,6,FR,8264.67,12198.159999999994
2020,1,BA,6066.220000000004,27084.890000000003
2020,1,FO,26759.810000000012,17585.53
2020,1,FR,12053.49,27946.620000000003
2020,2,BA,53547.709999999985,20856.920000000006
2020,2,FO,29828.36,21217.00999999999
2020,2,FR,16435.400000000005,25031.899999999998
2020,3,BA,15169.969999999996,19878.39
2020,3,FO,24487.270000000004,33738.15999999999
2020,3,FR,104413.71000000002,18672.48
2020,4,BA,7659.780000000002,14950.309999999994
2020,4,FO,27676.43,16877.739999999998
2020,4,FR,40384.28,29082.27
2020,5,BA,8977.96,25820.890000000007
2020,5,FO,46712.94099999999,9368.85
2020,5,FR,27389.49000000001,16455.230000000003
2020,6,BA,12573.539999999999,13317.519999999993
2020,6,FO,30787.539999999986,25045.429999999993
2020,6,FR,7191.089999999998,19081.780000000006
2021,1,BA,13067.590000000004,25951.68
2021,1,FO,24992.139999999996,42936.56999999999
2021,1,FR,15038.530000000008,37058.32999999997
2021,2,BA,14669.989999999993,27069.760000000002
2021,2,FO,29682.60999999999,28452.499999999996
2021,2,FR,28031.29000000001,42084.630000000005
2021,3,BA,11554.800000000005,21481.84999999999
2021,3,FO,27577.699999999983,19594.68
