Year,Site,Habitat,Benthic Invertebrate Consumer,Browser,Brusher,Concealed Cropper,Corallivore,Cropper,Excavator,Herbivore/Detritivore,Omnivore,Piscivore,Scraper,Planktivore_exclusively,Fish Scale Consumer,Sediment Sucker,na,Unknown
2009,3,FR,7985.8899999999985,198.17,1644.3799999999997,2461.370000000001,3122.5400000000004,333.83000000000004,1606.1999999999998,NA,4359.589999999997,14681.529999999999,1149.91,307.65999999999997,NA,NA,NA,NA
2009,4,BA,4113.969999999999,134.60999999999999,6296.2300000000005,267.88,1242.22,1390.29,110.50999999999999,1.86,612.5400000000001,56854.420000000006,548.08,NA,NA,NA,NA,NA
2009,4,FO,7248.180000000007,3720.7000000000003,7571.77,1755.27,1354.2599999999998,3809.74,4775.7,24.21,6999.56,18014.47,1660.8999999999999,2227,NA,2071.5,NA,NA
2009,4,FR,6866.65,43.05,521.6400000000001,900.2100000000003,3132.44,1080.3300000000002,289.05,3.44,2418.5600000000013,10889.189999999999,3479,30.32,NA,NA,NA,NA
2009,5,BA,2264.54,NA,5404.500000000001,28.6,1856.5499999999995,4870.880000000001,3229.3600000000006,807.6999999999999,892.6099999999999,13755.800000000001,1910.1499999999996,35.41,NA,NA,NA,NA
2009,5,FO,3316.9800000000023,506.8,1528.3799999999999,236.48000000000002,948.7299999999998,10498.05,12442.099999999997,43.919999999999995,128065.02000000006,24205.41,2977.2,2112.45,1.51,NA,NA,NA
2009,5,FR,3488.63,NA,1796.5800000000002,1695.2400000000002,2719.79,926.0500000000002,1297.9499999999998,10.950000000000001,2312.5800000000004,505.76,548.77,240.11,0.97,NA,NA,NA
2009,6,BA,2448.8499999999995,180.5,3048.42,153.42000000000002,1173.09,757.49,2868.4599999999996,NA,3690.5999999999985,5727.990000000001,1737.94,376.90999999999997,NA,NA,NA,NA
2009,6,FO,20456.14,2100.45,4262.109999999999,1228.4199999999998,483.9600000000001,2349.01,11757.899999999998,70.27,6456.870000000002,22258.88,11850.100000000002,2212.11,26.44,NA,NA,NA
2009,6,FR,2374.92,338.70000000000005,3463.91,389.21,8289.610000000002,766.3499999999998,1569.4399999999998,NA,1777.7000000000003,-1,157.38,1158.3999999999999,NA,NA,NA,NA
